49,535
48,531
49,530
49,530
56,531
48,535
48,531
41,535
71,564
120,640
107,588
105,584
94,582
88,576
74,554
55,542
53,550
72,563
72,574
73,560
74,563
53,536
24,509
0,475
12,510
26,527
64,640
87,599
100,593
168,640
128,640
98,640
231,640
106,585
47,548
26,503
16,496
0,508
0,505
0,640
0,589
139,620
120,621
224,640
213,640
244,640
24,562
0,452
0,554
0,480
53,550
166,640
0,640
39,640
112,621
0,495
0,484
116,630
56,640
4,640
148,640
56,640
0,640
244,640
0,640
0,507
0,606
64,567
98,584
73,569
97,591
98,599
0,571
0,553
0,533
0,555
0,581
127,609
96,605
36,621
42,640
-23,591
9,640
15,640
16,517
26,557
35,589
40,581
0,552
0,581
0,596
37,604
14,535
95,580
121,608
128,611
101,591
91,640
0,568
67,640
0,538
29,514
0,640
0,423
-1,450
0,640
61,561
59,545
44,535
